month,crop_category,crop_name,system_type,avg_temp_c,humidity_pct,water_temp_c,vpd_kpa,ph_level,ec_level,dissolved_oxygen,dli_mol_m2_day,is_recommended,risk_factor
Jul,Hydroponic,Celery,NFT,28.916185196198168,81.2003924997035,31.151960817179916,0.7249801875807093,7.751963031939142,1.7184655453407072,2.99870908433163,11.1,0,Root Rot Risk
Aug,Hydroponic,Cherry Tomato,NFT,33.8,74.6,28.8,1.33,5.3,1.9,3.9,13.2,0,Root Rot Risk
Jul,Hydroponic,Kale,NFT,32.27414781722243,77.79433418872163,27.62950549643899,1.18957360402985,5.48896971102988,1.6282682023236055,4.4139500983373985,13.3,0,Root Rot Risk
Mar,Microgreen,Arugula,Tray,29.158000773085764,42.817956643765356,32.45831514704498,2.3379138714247016,6.465468534632649,0.787029054151384,2.634975096500539,15.2,0,Root Rot Risk
Sep,Hydroponic,Mint,NFT,27.477166293024794,74.02199024019242,31.79577120626431,0.9912051486898433,7.027014284686763,1.3043103369459716,3.120109657571308,14.5,0,Root Rot Risk
Feb,Microgreen,Basil (MG),Tray,28.34431572375328,32.44211003031021,32.64050361670091,2.659284489136579,5.304972065859887,0.7996243374511016,2.738726335140584,16.4,0,Root Rot Risk
Aug,Hydroponic,Cherry Tomato,DWC,34.132891002221406,92.54331862562195,28.68142596066911,0.38429275600846696,5.397110617031379,0.4707718808182434,3.9858524637342785,12.5,0,Root Rot Risk
Oct,Microgreen,Radish,Tray,27.291049204255696,34.230531933804116,30.181873689024847,2.586961370891114,6.511512930885224,0.6243345317966102,3.436638553631293,18.0,0,Root Rot Risk
Oct,Hydroponic,Cucumber,NFT,30.40311792082023,38.499866694395166,26.509833311162257,2.7942790438851466,6.137877932231426,1.4545231495790287,5.023499106738023,16.3,0,VPD Stress
Sep,Microgreen,Beetroot,Tray,32.377491015229126,77.9657161887273,27.692202179129197,0.9315183523893473,6.0331631694659205,0.9914680097375982,4.399234095372708,8.8,0,Root Rot Risk
Mar,Hydroponic,Lettuce,NFT,28.8,46.3,31.8,2.13,7.6,1.5,2.9,15.4,0,Root Rot Risk
