month,crop_category,crop_name,system_type,avg_temp_c,humidity_pct,water_temp_c,vpd_kpa,ph_level,ec_level,dissolved_oxygen,dli_mol_m2_day,is_recommended,risk_factor
Sep,Microgreen,Beetroot,Tray,32.4,78.2,27.4,1.06,6.0,1.0,4.4,8.8,0,Root Rot Risk
Apr,Microgreen,Radish,Tray,45.9,20.0,40.9,8.03,5.6,1.3,2.0,20.2,0,Root Rot Risk
Jun,Microgreen,Pea Shoots,Tray,41.1,26.1,36.1,5.78,7.1,2.0,2.0,23.9,0,Root Rot Risk
Jul,Microgreen,Mustard,Tray,32.5,70.8,27.5,1.42,7.3,1.8,4.4,11.3,0,Root Rot Risk
Jul,Hydroponic,Basil (Hydro),NFT,34.1,78.8,29.1,1.14,6.0,2.2,3.8,12.6,0,Root Rot Risk
Dec,Microgreen,Pea Shoots,Tray,13.6,47.0,16.6,0.82,7.4,2.4,8.2,11.1,0,Nutrient Lockout
Dec,Microgreen,Arugula,Tray,12.3,54.1,15.3,0.66,6.1,1.2,8.6,6.4,1,Optimal
Aug,Microgreen,Mustard,Tray,32.1,80.4,27.1,0.94,6.7,1.6,4.5,11.8,0,Root Rot Risk
Apr,Microgreen,Broccoli,Tray,38.7,17.7,33.7,5.66,6.3,0.8,2.2,24.3,0,Root Rot Risk
May,Hydroponic,Cherry Tomato,DWC,36.9,29.6,31.9,4.41,5.4,2.2,2.8,19.4,0,Root Rot Risk
Dec,Microgreen,Radish,Tray,12.5,50.8,15.5,0.71,5.2,0.8,8.6,5.2,0,Nutrient Lockout
Jan,Microgreen,Mustard,Tray,19.3,46.3,22.3,1.2,7.7,0.6,6.2,9.7,0,Nutrient Lockout
Mar,Hydroponic,Strawberry,NFT,23.8,31.0,26.8,2.04,7.5,0.9,4.6,16.9,0,Root Rot Risk
May,Hydroponic,Strawberry,DWC,36.0,17.5,31.0,4.91,6.7,2.4,3.1,18.8,0,Root Rot Risk
Aug,Hydroponic,Cherry Tomato,DWC,29.9,74.8,32.9,1.06,6.6,1.4,2.5,13.7,0,Root Rot Risk
Dec,Hydroponic,Cherry Tomato,NFT,19.8,51.0,22.8,1.13,7.7,2.0,6.0,6.1,0,Nutrient Lockout
Jan,Hydroponic,Spinach,NFT,14.9,57.1,17.9,0.73,5.5,1.3,7.7,11.1,1,Optimal
Jan,Microgreen,Mustard,Tray,12.7,54.6,15.7,0.67,5.5,0.5,8.5,7.2,1,Optimal
Dec,Hydroponic,Cherry Tomato,DWC,15.3,48.1,18.3,0.9,5.9,1.9,7.6,7.7,1,Optimal
Jan,Hydroponic,Cucumber,DWC,12.6,50.9,15.6,0.71,7.2,1.1,8.6,11.8,0,Nutrient Lockout
Jun,Hydroponic,Pak Choi,NFT,37.6,26.3,32.6,4.77,5.6,1.2,2.6,24.3,0,Root Rot Risk
Feb,Hydroponic,Strawberry,NFT,22.0,31.6,25.0,1.81,7.7,2.2,5.2,19.6,0,Nutrient Lockout
Sep,Microgreen,Radish,Tray,30.9,86.1,25.9,0.62,6.4,1.2,4.9,11.4,0,Mold/Fungal Risk
Aug,Hydroponic,Basil (Hydro),DWC,33.4,93.5,28.4,0.34,7.4,1.4,4.1,14.1,0,Root Rot Risk
Oct,Hydroponic,Celery,DWC,31.8,37.8,26.8,2.92,5.8,1.5,4.6,19.6,0,Root Rot Risk
Oct,Hydroponic,Bell Pepper,DWC,25.2,44.0,28.2,1.79,7.5,1.4,4.1,17.3,0,Root Rot Risk
May,Microgreen,Sunflower,Tray,43.7,25.2,38.7,6.7,6.1,1.1,2.0,20.1,0,Root Rot Risk
Apr,Hydroponic,Kale,DWC,43.4,16.6,38.4,7.34,7.0,1.4,2.0,23.8,0,Root Rot Risk
Nov,Microgreen,Radish,Tray,14.6,56.2,17.6,0.73,6.0,1.2,7.8,10.8,1,Optimal
Nov,Hydroponic,Basil (Hydro),DWC,17.3,49.0,20.3,1.01,6.7,2.2,6.9,6.5,1,Optimal
Jan,Microgreen,Mustard,Tray,14.1,42.1,17.1,0.93,6.1,1.8,8.0,10.3,1,Optimal
Jul,Hydroponic,Lettuce,NFT,29.0,88.3,32.0,0.47,6.4,0.7,2.8,12.8,0,Root Rot Risk
May,Hydroponic,Kale,NFT,44.8,16.1,39.8,7.95,5.4,2.3,2.0,19.4,0,Root Rot Risk
Dec,Hydroponic,Strawberry,DWC,11.2,43.5,14.2,0.75,6.5,1.1,9.0,7.7,1,Optimal
Jun,Microgreen,Beetroot,Tray,47.6,29.4,42.6,7.74,6.4,0.5,2.0,20.2,0,Root Rot Risk
Dec,Hydroponic,Cherry Tomato,DWC,13.5,47.4,16.5,0.81,6.8,1.6,8.2,11.1,1,Optimal
Jun,Hydroponic,Strawberry,DWC,36.1,15.1,31.1,5.06,7.7,1.2,3.1,20.4,0,Root Rot Risk
Jul,Hydroponic,Basil (Hydro),DWC,30.3,82.2,25.3,0.77,6.5,1.9,5.2,10.7,1,Optimal
Aug,Hydroponic,Cherry Tomato,NFT,35.0,75.6,30.0,1.37,5.8,1.9,3.5,10.4,0,Root Rot Risk
Apr,Microgreen,Arugula,Tray,42.0,23.8,37.0,6.24,7.2,1.7,2.0,22.4,0,Root Rot Risk
Oct,Hydroponic,Spinach,DWC,27.6,33.2,30.6,2.47,5.3,0.6,3.3,19.7,0,Root Rot Risk
Nov,Microgreen,Beetroot,Tray,8.8,47.4,11.8,0.6,7.6,1.9,9.9,6.1,0,Nutrient Lockout
Aug,Microgreen,Kohlrabi,Tray,32.3,91.9,27.3,0.39,6.0,1.1,4.5,12.6,0,Root Rot Risk
Sep,Hydroponic,Lettuce,NFT,30.6,91.8,25.6,0.36,7.6,1.2,5.0,13.8,0,VPD Stress
Sep,Microgreen,Mustard,Tray,31.0,88.2,26.0,0.53,7.2,0.5,4.9,8.7,0,Mold/Fungal Risk
Dec,Microgreen,Kohlrabi,Tray,9.2,41.5,12.2,0.68,7.4,0.8,9.7,8.1,0,Nutrient Lockout
May,Hydroponic,Cucumber,DWC,47.0,21.9,42.0,8.31,5.5,0.6,2.0,21.2,0,Root Rot Risk
Dec,Hydroponic,Pak Choi,NFT,12.0,49.8,15.0,0.71,7.3,0.9,8.7,8.2,0,Nutrient Lockout
Feb,Microgreen,Amaranth,Tray,24.0,33.4,27.0,1.98,6.5,0.8,4.6,17.8,0,Root Rot Risk
Sep,Microgreen,Mustard,Tray,30.5,92.9,25.5,0.31,7.7,2.1,5.1,11.1,0,Mold/Fungal Risk
Jul,Hydroponic,Celery,NFT,28.3,81.4,31.3,0.72,7.7,1.7,3.0,11.1,0,Root Rot Risk
Jul,Microgreen,Amaranth,Tray,31.8,82.5,26.8,0.83,5.5,2.5,4.6,14.2,0,Root Rot Risk
Feb,Hydroponic,Mint,NFT,27.3,48.5,30.3,1.87,6.4,1.4,3.4,15.9,0,Root Rot Risk
May,Hydroponic,Celery,DWC,38.2,15.6,33.2,5.67,5.4,2.5,2.4,19.7,0,Root Rot Risk
Jan,Microgreen,Arugula,Tray,10.7,46.5,13.7,0.69,7.2,1.9,9.2,10.8,0,Nutrient Lockout
Jan,Microgreen,Radish,Tray,12.3,58.7,15.3,0.59,7.0,2.5,8.6,6.0,1,Optimal
Jan,Microgreen,Amaranth,Tray,9.8,57.6,12.8,0.51,6.1,2.2,9.5,8.4,1,Optimal
Feb,Hydroponic,Celery,NFT,26.6,44.0,29.6,1.95,6.3,1.9,3.6,17.9,0,Root Rot Risk
Oct,Hydroponic,Basil (Hydro),DWC,28.5,30.5,31.5,2.71,6.2,0.5,3.0,15.8,0,Root Rot Risk
Jun,Hydroponic,Celery,NFT,45.4,15.8,40.4,8.23,5.4,1.6,2.0,19.3,0,Root Rot Risk
Mar,Hydroponic,Cherry Tomato,NFT,29.2,49.9,32.2,2.03,6.5,1.2,2.7,17.0,0,Root Rot Risk
Jun,Hydroponic,Mint,DWC,43.4,22.4,38.4,6.85,6.9,2.1,2.0,23.8,0,Root Rot Risk
Feb,Microgreen,Radish,Tray,27.4,45.6,30.4,1.99,5.9,2.0,3.3,18.2,0,Root Rot Risk
Nov,Microgreen,Broccoli,Tray,15.9,53.6,18.9,0.84,7.6,1.4,7.4,6.3,0,Nutrient Lockout
Oct,Microgreen,Amaranth,Tray,25.7,46.5,28.7,1.77,7.7,2.3,3.9,17.0,0,Root Rot Risk
Aug,Microgreen,Sunflower,Tray,34.0,83.6,29.0,0.87,6.8,1.1,3.9,14.1,0,Root Rot Risk
Dec,Hydroponic,Cucumber,DWC,10.9,42.4,13.9,0.75,7.6,1.2,9.1,7.5,0,Nutrient Lockout
